mu sigma
2.61364323576176 4.335678633728687
2.8604866871594083 4.341312725077525
3.1913952072630747 4.55150036087268
3.2058071561878143 4.579974728392831
3.226941310861713 4.652574506502155
3.161449215905578 4.871688129606365
3.229344276085078 4.691052969688018
2.4268631333911967 4.398133908832684
2.722243763846409 4.329645478800463
2.322314981720539 4.910341734446949
2.689254556034928 5.04438222822874
3.192056187741858 4.565195789320292
2.917486413170623 4.361097529664528
2.542949147266387 5.021003070333036
2.2987297131713893 4.882387626503725
2.3705877392856505 4.9422402330808985
2.2499451243940927 4.80498508206928
2.8758482965110748 4.35366060594425
3.1483098239877894 4.8709473319376215
2.615556637429922 4.3445218492301665
2.400113806569117 4.956727976466634
2.626071612617413 5.030612717928674
2.3298649338677313 4.4780512096650575
2.5321572614474084 5.010142038038289
3.008127839825816 4.972620722467764
2.2451887605551137 4.606252872487684
2.6040175268420085 5.0249204247493795
2.9451550917077656 4.997577380985607
2.8744827633073955 4.357568452231099
2.6868327027665013 4.3416330529276514
2.7607011980601515 4.342328012672063
2.2530069875255734 4.786569207793535
2.28658615572043 4.534242674822107
2.566516973610216 5.01399465161853
3.112003663947151 4.894768852265294
2.457416242461958 4.976246113373396
2.7259468303623526 4.343104858454554
3.0339747534992743 4.95048834421807
3.203327158110408 4.652508250630112
2.556132236626593 5.00733644433513
2.2773049502595777 4.82231701682355
2.2480207718237226 4.753777766582826
2.832986719639447 4.354814255327245
2.8810624893407444 4.365616175044064
2.740031617704361 5.025960753979803
2.4235181231383547 4.954198575553949
